ar,aldur,eining,tegund,medaltal,tekjur
2009,16 - 24 ára,90,heildartekjur,2719.7369057406777,5544.636971836662
2009,16 - 24 ára,99,heildartekjur,2719.7369057406777,11606.023955764053
2010,16 - 24 ára,10,heildartekjur,2570.375659676013,344.09312713199637
2010,16 - 24 ára,20,heildartekjur,2570.375659676013,812.0597800315114
2010,16 - 24 ára,30,heildartekjur,2570.375659676013,1224.9715325899072
2010,16 - 24 ára,40,heildartekjur,2570.375659676013,1617.2376975203829
2010,16 - 24 ára,50,heildartekjur,2570.375659676013,2045.6336407997185
2010,16 - 24 ára,60,heildartekjur,2570.375659676013,2529.0844844201733
2010,16 - 24 ára,70,heildartekjur,2570.375659676013,3136.408853808147
2010,16 - 24 ára,80,heildartekjur,2570.375659676013,3908.8979242194787
2010,16 - 24 ára,90,heildartekjur,2570.375659676013,5202.688082235785
2010,16 - 24 ára,99,heildartekjur,2570.375659676013,10857.858626650146
2011,16 - 24 ára,10,heildartekjur,2696.3372161430752,406.9318743381574
2011,16 - 24 ára,20,heildartekjur,2696.3372161430752,936.2741498999881
2011,16 - 24 ára,30,heildartekjur,2696.3372161430752,1376.28991646076
2011,16 - 24 ára,40,heildartekjur,2696.3372161430752,1784.875985410048
2011,16 - 24 ára,50,heildartekjur,2696.3372161430752,2219.9291681374275
2011,16 - 24 ára,60,heildartekjur,2696.3372161430752,2693.028826920814
2011,16 - 24 ára,70,heildartekjur,2696.3372161430752,3293.5014707612654
2011,16 - 24 ára,80,heildartekjur,2696.3372161430752,4057.7393811036586
2011,16 - 24 ára,90,heildartekjur,2696.3372161430752,5338.086010118836
2011,16 - 24 ára,99,heildartekjur,2696.3372161430752,10806.853394517
2012,16 - 24 ára,10,heildartekjur,2755.2443633465464,441.90848521711166
2012,16 - 24 ára,20,heildartekjur,2755.2443633465464,986.0377944168292
2012,16 - 24 ára,30,heildartekjur,2755.2443633465464,1440.5273041241078
2012,16 - 24 ára,40,heildartekjur,2755.2443633465464,1849.4106000545312
